filename,algorithm,generation,population,stepSize,time,memory
otcametapixel.rle,hashlife,93,54903,1,132.9250000000029,132234536
otcametapixel.rle,hashlife,94,64612,1,126.88500000000204,149635096
otcametapixel.rle,hashlife,95,54966,1,124.5399999999936,166592424
otcametapixel.rle,hashlife,96,64554,1,162.17499999999563,208364808
otcametapixel.rle,hashlife,97,54972,1,123.19500000000698,224501880
otcametapixel.rle,hashlife,98,64401,1,116.95500000000175,238867088
otcametapixel.rle,hashlife,99,55074,1,112.30500000000029,252849688
otcametapixel.rle,hashlife,100,64473,1,113.32500000000437,267167256
otcametapixel.rle,hashlife,101,55146,1,112.64500000000407,281588208
otcametapixel.rle,hashlife,102,64847,1,109.61000000000058,295437920
otcametapixel.rle,hashlife,103,55066,1,311.5249999999942,322943664
otcametapixel.rle,hashlife,104,63989,1,239.02500000000873,338327208
otcametapixel.rle,hashlife,105,54705,1,150.48500000000786,364408264
otcametapixel.rle,hashlife,106,63982,1,146.95999999999913,375206576
otcametapixel.rle,hashlife,107,54772,1,240.00999999999476,102541312
otcametapixel.rle,hashlife,108,64009,1,136.21500000000378,123667488
otcametapixel.rle,hashlife,109,54812,1,131.97999999999593,129522776
otcametapixel.rle,hashlife,110,63950,1,130.75,149629888
otcametapixel.rle,hashlife,111,54665,1,121.27500000000146,167001976
otcametapixel.rle,hashlife,112,63871,1,119.08499999999185,183984504
otcametapixel.rle,hashlife,113,54815,1,156.6800000000003,210958344
otcametapixel.rle,hashlife,114,63902,1,119.84999999999854,227058424
otcametapixel.rle,hashlife,115,54696,1,117.15499999999156,241762408
otcametapixel.rle,hashlife,116,63759,1,115.84500000000116,256596448
otcametapixel.rle,hashlife,117,54678,1,114.20500000000902,271147552
otcametapixel.rle,hashlife,118,63752,1,113.62999999999738,284919792
otcametapixel.rle,hashlife,119,54431,1,114.40000000000873,298262352
otcametapixel.rle,hashlife,120,63777,1,310.0199999999895,323874288
otcametapixel.rle,hashlife,121,54432,1,230.3399999999965,351739048
