filename,algorithm,,population,stepSize,time,memory,generation
gosperglidergun.rle,hashlife,,88,2,3.415,14625224,294
gosperglidergun.rle,hashlife,,92,2,2.64,15155040,296
gosperglidergun.rle,hashlife,,95,2,2.65,15701888,298
gosperglidergun.rle,hashlife,,86,2,2.685,16268264,300
gosperglidergun.rle,hashlife,,93,2,2.77,16855600,302
gosperglidergun.rle,hashlife,,101,2,2.835,17463664,304
gosperglidergun.rle,hashlife,,101,2,2.96,18089368,306
gosperglidergun.rle,hashlife,,111,2,5.05,19330096,308
gosperglidergun.rle,hashlife,,98,2,3.145,20066448,310
gosperglidergun.rle,hashlife,,104,2,2.99,20670088,312
gosperglidergun.rle,hashlife,,106,2,3.245,21346216,314
gosperglidergun.rle,hashlife,,94,2,3.405,12539736,316
gosperglidergun.rle,hashlife,,103,2,2.99,13173640,318
gosperglidergun.rle,hashlife,,104,2,3.155,13869520,320
gosperglidergun.rle,hashlife,,99,2,3.25,14592376,322
gosperglidergun.rle,hashlife,,93,2,3.215,15306144,324
gosperglidergun.rle,hashlife,,97,2,3.4,16727736,326
gosperglidergun.rle,hashlife,,100,2,3.22,17443848,328
gosperglidergun.rle,hashlife,,91,2,3.185,18140360,330
gosperglidergun.rle,hashlife,,98,2,3.23,18857288,332
gosperglidergun.rle,hashlife,,106,2,3.665,19613936,334
gosperglidergun.rle,hashlife,,106,2,3.39,20394312,336
gosperglidergun.rle,hashlife,,116,2,2.63,20921960,338
gosperglidergun.rle,hashlife,,103,2,2.64,21462944,340
gosperglidergun.rle,hashlife,,109,2,2.75,22025024,342
gosperglidergun.rle,hashlife,,111,2,2.785,22609344,344
gosperglidergun.rle,hashlife,,99,2,3.025,23213608,346
gosperglidergun.rle,hashlife,,108,2,2.99,23837720,348
gosperglidergun.rle,hashlife,,109,2,4.995,25130984,350
gosperglidergun.rle,hashlife,,104,2,3.29,14413272,352
gosperglidergun.rle,hashlife,,98,2,3.11,15081792,354
gosperglidergun.rle,hashlife,,102,2,3.135,15740976,356
gosperglidergun.rle,hashlife,,105,2,3.1,16394816,358
gosperglidergun.rle,hashlife,,96,2,4.365,18056504,360
gosperglidergun.rle,hashlife,,103,2,2.965,18705424,362
gosperglidergun.rle,hashlife,,111,2,3.145,19359488,364
gosperglidergun.rle,hashlife,,111,2,3.075,20037320,366
gosperglidergun.rle,hashlife,,121,2,3.235,21167440,368
gosperglidergun.rle,hashlife,,108,2,3.235,21888616,370
gosperglidergun.rle,hashlife,,114,2,3.23,22622120,372
gosperglidergun.rle,hashlife,,116,2,3.355,23403840,374
gosperglidergun.rle,hashlife,,104,2,3.485,24222272,376
gosperglidergun.rle,hashlife,,113,2,3.365,25013992,378
gosperglidergun.rle,hashlife,,114,2,2.61,25553888,380
gosperglidergun.rle,hashlife,,109,2,2.755,26096368,382
gosperglidergun.rle,hashlife,,103,2,3.82,26686936,384
gosperglidergun.rle,hashlife,,107,2,2.815,27269496,386
gosperglidergun.rle,hashlife,,110,2,2.925,27873800,388
gosperglidergun.rle,hashlife,,101,2,3.755,17910616,390
gosperglidergun.rle,hashlife,,108,2,4.72,19225016,392
gosperglidergun.rle,hashlife,,116,2,2.965,19961520,394
gosperglidergun.rle,hashlife,,116,2,2.915,20574824,396
gosperglidergun.rle,hashlife,,126,2,3,21230696,398
gosperglidergun.rle,hashlife,,113,2,3.09,21905816,400
gosperglidergun.rle,hashlife,,119,2,3.045,8659568,402
gosperglidergun.rle,hashlife,,121,2,3.28,9369328,404
gosperglidergun.rle,hashlife,,109,2,3.175,10097776,406
gosperglidergun.rle,hashlife,,118,2,3.09,10801184,408
gosperglidergun.rle,hashlife,,119,2,3.38,11960016,410
gosperglidergun.rle,hashlife,,114,2,3.28,12733448,412
gosperglidergun.rle,hashlife,,108,2,3.275,13503952,414
gosperglidergun.rle,hashlife,,112,2,3.305,14274744,416
gosperglidergun.rle,hashlife,,115,2,3.25,15044000,418
gosperglidergun.rle,hashlife,,106,2,3.245,15800416,420
gosperglidergun.rle,hashlife,,113,2,2.565,16334104,422
gosperglidergun.rle,hashlife,,121,2,2.645,16886088,424
gosperglidergun.rle,hashlife,,121,2,2.695,17464264,426
gosperglidergun.rle,hashlife,,131,2,2.75,18064680,428
gosperglidergun.rle,hashlife,,118,2,2.805,18686040,430
gosperglidergun.rle,hashlife,,124,2,2.79,10563912,432
gosperglidergun.rle,hashlife,,126,2,5.64,11998064,434
gosperglidergun.rle,hashlife,,114,2,3.215,12834496,436
gosperglidergun.rle,hashlife,,123,2,2.91,13457216,438
gosperglidergun.rle,hashlife,,124,2,3.15,14157776,440
gosperglidergun.rle,hashlife,,119,2,3.355,8452112,442
gosperglidergun.rle,hashlife,,113,2,3.035,9133344,444
gosperglidergun.rle,hashlife,,117,2,3.09,9829440,446
