filename,algorithm,generation,population,stepSize,time,memory
primequadrupletcalculator.rle,hashlife,173,5141,1,56.80999999999767,145199272
primequadrupletcalculator.rle,hashlife,174,5148,1,54.549999999995634,148977488
primequadrupletcalculator.rle,hashlife,175,5125,1,53.830000000001746,152302280
primequadrupletcalculator.rle,hashlife,176,5078,1,52.849999999998545,155359472
primequadrupletcalculator.rle,hashlife,177,5105,1,58.669999999998254,164034208
primequadrupletcalculator.rle,hashlife,178,5091,1,55.59000000000378,166300968
primequadrupletcalculator.rle,hashlife,179,5035,1,48.04500000000553,167650288
primequadrupletcalculator.rle,hashlife,180,5066,1,47.794999999998254,168886160
primequadrupletcalculator.rle,hashlife,181,4997,1,47.474999999998545,169941072
primequadrupletcalculator.rle,hashlife,182,5075,1,47.720000000001164,170922864
primequadrupletcalculator.rle,hashlife,183,5049,1,47.31500000000233,172013792
primequadrupletcalculator.rle,hashlife,184,5129,1,44.17500000000291,186885440
primequadrupletcalculator.rle,hashlife,185,5018,1,42.35000000000582,187731176
primequadrupletcalculator.rle,hashlife,186,4989,1,46.779999999998836,188181384
primequadrupletcalculator.rle,hashlife,187,4954,1,46.44499999999971,187983416
primequadrupletcalculator.rle,hashlife,188,4964,1,44.875,187670608
primequadrupletcalculator.rle,hashlife,189,5079,1,44.11999999999534,187314144
primequadrupletcalculator.rle,hashlife,190,5050,1,76.27500000000146,199517856
primequadrupletcalculator.rle,hashlife,191,5110,1,67.37500000000728,193712728
primequadrupletcalculator.rle,hashlife,192,5091,1,59.42000000000553,198508952
primequadrupletcalculator.rle,hashlife,193,5172,1,56.66000000000349,202428232
primequadrupletcalculator.rle,hashlife,194,5134,1,55.080000000001746,206000480
primequadrupletcalculator.rle,hashlife,195,5193,1,54.09499999999389,209132136
primequadrupletcalculator.rle,hashlife,196,5083,1,122.25999999999476,46172272
primequadrupletcalculator.rle,hashlife,197,5081,1,52.799999999995634,47579040
primequadrupletcalculator.rle,hashlife,198,5066,1,48.71500000000378,49199736
primequadrupletcalculator.rle,hashlife,199,5031,1,48.28499999999622,50582352
primequadrupletcalculator.rle,hashlife,200,5044,1,49.919999999998254,51804632
primequadrupletcalculator.rle,hashlife,201,4989,1,46.83999999999651,52861792
primequadrupletcalculator.rle,hashlife,202,5128,1,42.13500000000204,67966040
primequadrupletcalculator.rle,hashlife,203,5068,1,42.04500000000553,69195864
primequadrupletcalculator.rle,hashlife,204,5183,1,46.80999999999767,70087992
primequadrupletcalculator.rle,hashlife,205,5120,1,47.75499999999738,71167192
primequadrupletcalculator.rle,hashlife,206,5187,1,46.275000000001455,71589200
primequadrupletcalculator.rle,hashlife,207,5151,1,47.37000000000262,71986024
primequadrupletcalculator.rle,hashlife,208,5169,1,46.58499999999913,72150872
primequadrupletcalculator.rle,hashlife,209,5233,1,85.19499999999971,73618720
primequadrupletcalculator.rle,hashlife,210,5188,1,61.93499999999767,80513568
primequadrupletcalculator.rle,hashlife,211,5229,1,58.78499999999622,86066896
primequadrupletcalculator.rle,hashlife,212,5137,1,56.924999999995634,90601896
primequadrupletcalculator.rle,hashlife,213,5253,1,54.4149999999936,94576712
primequadrupletcalculator.rle,hashlife,214,5322,1,61.61500000000524,104523728
primequadrupletcalculator.rle,hashlife,215,5285,1,53.4800000000032,107789984
primequadrupletcalculator.rle,hashlife,216,5282,1,55.950000000004366,110898488
primequadrupletcalculator.rle,hashlife,217,5249,1,50.520000000004075,113152040
primequadrupletcalculator.rle,hashlife,218,5279,1,51.05999999999767,115440272
primequadrupletcalculator.rle,hashlife,219,5283,1,74.75,125999016
primequadrupletcalculator.rle,hashlife,220,5297,1,48.095000000001164,128022496
primequadrupletcalculator.rle,hashlife,221,5184,1,48.19499999999971,130093208
primequadrupletcalculator.rle,hashlife,222,5286,1,47.84500000000844,132047376
primequadrupletcalculator.rle,hashlife,223,5206,1,48.320000000006985,134004792
primequadrupletcalculator.rle,hashlife,224,5256,1,47.18499999999767,135566256
primequadrupletcalculator.rle,hashlife,225,5269,1,45.88999999999942,136480880
primequadrupletcalculator.rle,hashlife,226,5269,1,45.76000000000204,137419704
primequadrupletcalculator.rle,hashlife,227,5251,1,45.400000000001455,138292904
primequadrupletcalculator.rle,hashlife,228,5241,1,84.52500000000146,140456808
primequadrupletcalculator.rle,hashlife,229,5273,1,61.1649999999936,147712296
primequadrupletcalculator.rle,hashlife,230,5172,1,57.845000000001164,153188576
primequadrupletcalculator.rle,hashlife,231,5234,1,54.0199999999968,157737024
primequadrupletcalculator.rle,hashlife,232,5150,1,53.17500000000291,161736336
primequadrupletcalculator.rle,hashlife,233,5236,1,59.549999999995634,171824432
primequadrupletcalculator.rle,hashlife,234,5272,1,108.78000000000611,42640264
primequadrupletcalculator.rle,hashlife,235,5243,1,46.03499999999622,59724968
primequadrupletcalculator.rle,hashlife,236,5209,1,43.830000000001746,61289400
primequadrupletcalculator.rle,hashlife,237,5218,1,43.849999999998545,63518880
primequadrupletcalculator.rle,hashlife,238,5244,1,43.029999999998836,65652376
primequadrupletcalculator.rle,hashlife,239,5213,1,42.79500000000553,67861576
primequadrupletcalculator.rle,hashlife,240,5273,1,43.80999999999767,69884400
primequadrupletcalculator.rle,hashlife,241,5195,1,43.3550000000032,72093832
primequadrupletcalculator.rle,hashlife,242,5265,1,47.520000000004075,73890584
primequadrupletcalculator.rle,hashlife,243,5251,1,47.98999999999796,75675080
primequadrupletcalculator.rle,hashlife,244,5311,1,46.00499999999738,76732672
primequadrupletcalculator.rle,hashlife,245,5244,1,46.92500000000291,77784288
primequadrupletcalculator.rle,hashlife,246,5254,1,45.3949999999968,78609144
primequadrupletcalculator.rle,hashlife,247,5211,1,82.69499999999971,80462968
primequadrupletcalculator.rle,hashlife,248,5217,1,59.525000000001455,87440104
primequadrupletcalculator.rle,hashlife,249,5366,1,56.900000000001455,92957512
primequadrupletcalculator.rle,hashlife,250,5293,1,54.955000000001746,97685336
primequadrupletcalculator.rle,hashlife,251,5344,1,58.55000000000291,88449448
primequadrupletcalculator.rle,hashlife,252,5314,1,61.16000000000349,98773176
primequadrupletcalculator.rle,hashlife,253,5423,1,52.73999999999796,102464096
primequadrupletcalculator.rle,hashlife,254,5416,1,55.099999999998545,105965664
primequadrupletcalculator.rle,hashlife,255,5448,1,49.29000000000087,108592216
primequadrupletcalculator.rle,hashlife,256,5297,1,49.820000000006985,111355640
primequadrupletcalculator.rle,hashlife,257,5286,1,49.4800000000032,113976288
primequadrupletcalculator.rle,hashlife,258,5252,1,50.205000000001746,116401232
primequadrupletcalculator.rle,hashlife,259,5228,1,48.375,118525408
primequadrupletcalculator.rle,hashlife,260,5215,1,47.720000000001164,120415808
primequadrupletcalculator.rle,hashlife,261,5161,1,48.24499999999534,122254944
primequadrupletcalculator.rle,hashlife,262,5246,1,47.68999999999505,123898960
primequadrupletcalculator.rle,hashlife,263,5189,1,46.81499999999505,124953232
primequadrupletcalculator.rle,hashlife,264,5323,1,45.7699999999968,125869048
primequadrupletcalculator.rle,hashlife,265,5234,1,41.729999999995925,140928992
primequadrupletcalculator.rle,hashlife,266,5274,1,78.5650000000096,142604584
primequadrupletcalculator.rle,hashlife,267,5246,1,61.18999999999505,149839688
primequadrupletcalculator.rle,hashlife,268,5271,1,91.73500000000058,33704528
primequadrupletcalculator.rle,hashlife,269,5327,1,56.40500000000611,38413136
primequadrupletcalculator.rle,hashlife,270,5297,1,53.874999999992724,42432096
primequadrupletcalculator.rle,hashlife,271,5345,1,60.979999999995925,52654720
primequadrupletcalculator.rle,hashlife,272,5260,1,52.80000000000291,56039400
primequadrupletcalculator.rle,hashlife,273,5390,1,54.55500000000029,59321528
primequadrupletcalculator.rle,hashlife,274,5470,1,49.18000000000029,61765856
primequadrupletcalculator.rle,hashlife,275,5441,1,48.31500000000233,64070720
primequadrupletcalculator.rle,hashlife,276,5448,1,49.320000000006985,66423496
primequadrupletcalculator.rle,hashlife,277,5402,1,48.919999999998254,68723488
